iso3,pays_fr,annee,pib_hab_ppa
BTN,Bhoutan,2012,8577.40731901004
BTN,Bhoutan,2013,8666.91063590069
BTN,Bhoutan,2014,9323.39448941386
BTN,Bhoutan,2015,10213.8139608922
BTN,Bhoutan,2016,11273.2823807676
BTN,Bhoutan,2017,11677.4142659974
BTN,Bhoutan,2018,11969.5615003305
BTN,Bhoutan,2019,12909.1009840399
BTN,Bhoutan,2020,12475.048003428
BTN,Bhoutan,2021,13458.812666743
BTN,Bhoutan,2022,15063.8105763072
BTN,Bhoutan,2023,16215.1520073153
CHN,Chine,2012,11420.2527051141
CHN,Chine,2013,12228.3736084197
CHN,Chine,2014,12941.5964809146
CHN,Chine,2015,13463.3331511105
CHN,Chine,2016,14157.2514988004
CHN,Chine,2017,15022.4371883124
CHN,Chine,2018,16298.2050619109
CHN,Chine,2019,17600.8907568493
CHN,Chine,2020,18267.4783455827
CHN,Chine,2021,20843.2978347377
CHN,Chine,2022,23032.1766271143
CHN,Chine,2023,25179.1193066383
CHN,Chine,2024,27104.8702677463
DEU,Allemagne,2012,44229.3941921739
DEU,Allemagne,2013,45889.0173022052
DEU,Allemagne,2014,47938.7968210418
DEU,Allemagne,2015,48545.400721962
DEU,Allemagne,2016,51569.9016841199
DEU,Allemagne,2017,54110.2536648812
DEU,Allemagne,2018,56273.0405627017
DEU,Allemagne,2019,59270.7276496985
DEU,Allemagne,2020,58685.872699771
DEU,Allemagne,2021,62530.7653199239
DEU,Allemagne,2022,69048.9884036885
DEU,Allemagne,2023,71684.0311875583
DEU,Allemagne,2024,73551.9347696836
DNK,Danemark,2012,44755.1624273018
DNK,Danemark,2013,46869.1932887749
DNK,Danemark,2014,47879.5955558233
DNK,Danemark,2015,48897.2099776611
DNK,Danemark,2016,51820.9521305491
DNK,Danemark,2017,55271.5976002659
DNK,Danemark,2018,57233.6231685618
DNK,Danemark,2019,60594.966400191
DNK,Danemark,2020,62682.2899474389
DNK,Danemark,2021,69715.1809680929
DNK,Danemark,2022,78913.6534913127
DNK,Danemark,2023,77892.2932609904
DNK,Danemark,2024,81878.2349849181
ESP,Espagne,2012,31869.7839822219
ESP,Espagne,2013,32613.6891811474
ESP,Espagne,2014,33760.9555646369
ESP,Espagne,2015,35228.6333036223
ESP,Espagne,2016,37612.7188681342
ESP,Espagne,2017,39825.2498116292
ESP,Espagne,2018,41015.1565755187
ESP,Espagne,2019,44042.757577336
ESP,Espagne,2020,39327.8479269599
ESP,Espagne,2021,44251.6658222621
ESP,Espagne,2022,51398.9310403407
ESP,Espagne,2023,55682.2402603093
ESP,Espagne,2024,57965.2948138837
FIN,Finlande,2012,40739.1131809421
FIN,Finlande,2013,41325.8052072321
FIN,Finlande,2014,41547.0984485393
FIN,Finlande,2015,42257.8593791297
FIN,Finlande,2016,44562.4011072067
FIN,Finlande,2017,47234.8528600939
FIN,Finlande,2018,49248.6775395866
FIN,Finlande,2019,52276.1115723992
FIN,Finlande,2020,53296.5792798852
FIN,Finlande,2021,56790.3766177692
FIN,Finlande,2022,62133.1375219912
FIN,Finlande,2023,63414.9936878177
FIN,Finlande,2024,65378.3841859721
FRA,France,2012,37671.0239268565
FRA,France,2013,39583.3520435045
FRA,France,2014,40218.1258637776
FRA,France,2015,40905.1767750994
FRA,France,2016,42880.2351355431
FRA,France,2017,44469.1458856805
FRA,France,2018,46381.0590629457
FRA,France,2019,51130.4723140578
FRA,France,2020,49481.8044309655
FRA,France,2021,52517.3354905855
FRA,France,2022,57042.9449013772
FRA,France,2023,60838.9416716424
FRA,France,2024,62556.91810454
ISL,Islande,2012,42004.4476110597
ISL,Islande,2013,44409.6689530904
ISL,Islande,2014,45996.9687476901
ISL,Islande,2015,49201.0640964553
ISL,Islande,2016,53480.3971946764
ISL,Islande,2017,55638.4920591794
ISL,Islande,2018,57197.7676247175
ISL,Islande,2019,60523.8179440825
ISL,Islande,2020,55796.7454667632
ISL,Islande,2021,61610.2132740715
ISL,Islande,2022,75332.8528345867
ISL,Islande,2023,81608.4479116436
ISL,Islande,2024,84256.8454573112
ITA,Italie,2012,36281.1014243506
ITA,Italie,2013,36459.2950248716
ITA,Italie,2014,36665.68576775
ITA,Italie,2015,37384.3796455406
ITA,Italie,2016,40482.562999856
ITA,Italie,2017,42142.3435406885
ITA,Italie,2018,43386.7005868803
ITA,Italie,2019,46661.9105159611
ITA,Italie,2020,44435.6434393527
ITA,Italie,2021,49825.3934111848
ITA,Italie,2022,57260.8945372493
ITA,Italie,2023,60029.871712398
ITA,Italie,2024,62014.2675153689
JPN,Japon,2012,37605.9742614539
JPN,Japon,2013,39402.0250988025
JPN,Japon,2014,39555.4120089198
JPN,Japon,2015,40898.80697396
JPN,Japon,2016,40596.9686628995
JPN,Japon,2017,41444.2157443912
JPN,Japon,2018,42141.9352987758
JPN,Japon,2019,42678.1511448354
JPN,Japon,2020,42425.6946789651
JPN,Japon,2021,44355.3487163354
JPN,Japon,2022,47192.0500603372
JPN,Japon,2023,50661.7663463109
JPN,Japon,2024,52039.1716551611
KOR,Corée du Sud,2012,35061.5531929083
KOR,Corée du Sud,2013,35844.2253782408
KOR,Corée du Sud,2014,37032.1724172561
KOR,Corée du Sud,2015,39794.1961180043
KOR,Corée du Sud,2016,41672.6278317077
KOR,Corée du Sud,2017,43155.9100867658
KOR,Corée du Sud,2018,45511.0803506331
KOR,Corée du Sud,2019,46511.2196957018
KOR,Corée du Sud,2020,47881.4921344193
KOR,Corée du Sud,2021,51718.2518656631
KOR,Corée du Sud,2022,55509.3368761174
KOR,Corée du Sud,2023,57429.8031076402
KOR,Corée du Sud,2024,61051.3492502498
NOR,Norvège,2012,65774.3520746224
NOR,Norvège,2013,67377.9262258772
NOR,Norvège,2014,66332.4614374198
NOR,Norvège,2015,60737.8868132779
NOR,Norvège,2016,59280.1992028829
NOR,Norvège,2017,64589.5559196863
NOR,Norvège,2018,70253.8463693386
NOR,Norvège,2019,70939.605518036
NOR,Norvège,2020,67110.6045705502
NOR,Norvège,2021,88984.1386736515
NOR,Norvège,2022,125489.548935602
NOR,Norvège,2023,103637.516843678
NOR,Norvège,2024,102037.526800237
SWE,Suède,2012,45206.9864434727
SWE,Suède,2013,46098.2321368832
SWE,Suède,2014,46841.4019746739
SWE,Suède,2015,48772.0696057277
SWE,Suède,2016,50289.7687144136
SWE,Suède,2017,51474.1199115161
SWE,Suède,2018,53122.438677218
SWE,Suède,2019,57046.4463076951
SWE,Suède,2020,57489.2657196219
SWE,Suède,2021,62731.700616293
SWE,Suède,2022,67075.6762724717
SWE,Suède,2023,69226.3272756663
SWE,Suède,2024,71844.9129880579
USA,États-Unis,2012,51708.3940614082
USA,États-Unis,2013,53297.3862901595
USA,États-Unis,2014,55153.3940182967
USA,États-Unis,2015,56849.4697923159
USA,États-Unis,2016,57976.628204291
USA,États-Unis,2017,60047.7190728307
USA,États-Unis,2018,62875.6661382728
USA,États-Unis,2019,65227.9565911035
USA,États-Unis,2020,64401.5074354209
USA,États-Unis,2021,71307.4017277218
USA,États-Unis,2022,77860.9112908848
USA,États-Unis,2023,82304.6204272866
USA,États-Unis,2024,85809.9003846359
