iso3,pays,annee,dette_pct_pib
CHN,Chine,2000,22.7
CHN,Chine,2001,24.3
CHN,Chine,2002,25.6
CHN,Chine,2003,26.4
CHN,Chine,2004,26.0
CHN,Chine,2005,25.9
CHN,Chine,2006,25.2
CHN,Chine,2007,28.7
CHN,Chine,2008,26.7
CHN,Chine,2009,34.0
CHN,Chine,2010,33.3
CHN,Chine,2011,33.2
CHN,Chine,2012,33.8
CHN,Chine,2013,36.4
CHN,Chine,2014,39.3
CHN,Chine,2015,40.8
CHN,Chine,2016,50.0
CHN,Chine,2017,53.9
CHN,Chine,2018,55.9
CHN,Chine,2019,59.8
CHN,Chine,2020,70.1
CHN,Chine,2021,72.1
CHN,Chine,2022,77.3
CHN,Chine,2023,84.1
CHN,Chine,2024,90.4
DEU,Allemagne,2000,59.2
DEU,Allemagne,2001,58.1
DEU,Allemagne,2002,59.8
DEU,Allemagne,2003,63.3
DEU,Allemagne,2004,65.0
DEU,Allemagne,2005,67.1
DEU,Allemagne,2006,66.4
DEU,Allemagne,2007,63.7
DEU,Allemagne,2008,65.2
DEU,Allemagne,2009,72.4
DEU,Allemagne,2010,81.0
DEU,Allemagne,2011,78.5
DEU,Allemagne,2012,79.8
DEU,Allemagne,2013,77.5
DEU,Allemagne,2014,74.5
DEU,Allemagne,2015,71.2
DEU,Allemagne,2016,68.3
DEU,Allemagne,2017,64.0
DEU,Allemagne,2018,60.8
DEU,Allemagne,2019,58.7
DEU,Allemagne,2020,68.0
DEU,Allemagne,2021,67.9
DEU,Allemagne,2022,64.4
DEU,Allemagne,2023,62.3
DEU,Allemagne,2024,62.2
ESP,Espagne,2000,57.8
ESP,Espagne,2001,54.1
ESP,Espagne,2002,51.2
ESP,Espagne,2003,47.7
ESP,Espagne,2004,45.3
ESP,Espagne,2005,42.4
ESP,Espagne,2006,39.0
ESP,Espagne,2007,35.7
ESP,Espagne,2008,39.6
ESP,Espagne,2009,53.1
ESP,Espagne,2010,60.3
ESP,Espagne,2011,69.5
ESP,Espagne,2012,89.6
ESP,Espagne,2013,100.0
ESP,Espagne,2014,104.4
ESP,Espagne,2015,102.4
ESP,Espagne,2016,102.0
ESP,Espagne,2017,101.1
ESP,Espagne,2018,99.7
ESP,Espagne,2019,97.6
ESP,Espagne,2020,119.2
ESP,Espagne,2021,115.6
ESP,Espagne,2022,109.2
ESP,Espagne,2023,105.1
ESP,Espagne,2024,101.6
FRA,France,2000,59.7
FRA,France,2001,59.3
FRA,France,2002,61.3
FRA,France,2003,65.4
FRA,France,2004,66.9
FRA,France,2005,68.2
FRA,France,2006,65.4
FRA,France,2007,65.5
FRA,France,2008,69.8
FRA,France,2009,84.1
FRA,France,2010,86.3
FRA,France,2011,88.7
FRA,France,2012,91.7
FRA,France,2013,94.6
FRA,France,2014,96.2
FRA,France,2015,97.0
FRA,France,2016,98.1
FRA,France,2017,98.8
FRA,France,2018,98.5
FRA,France,2019,98.2
FRA,France,2020,114.9
FRA,France,2021,112.8
FRA,France,2022,111.4
FRA,France,2023,109.6
FRA,France,2024,113.2
ITA,Italie,2000,108.7
ITA,Italie,2001,108.5
ITA,Italie,2002,105.9
ITA,Italie,2003,105.1
ITA,Italie,2004,104.7
ITA,Italie,2005,106.2
ITA,Italie,2006,106.3
ITA,Italie,2007,103.5
ITA,Italie,2008,105.8
ITA,Italie,2009,116.1
ITA,Italie,2010,118.8
ITA,Italie,2011,119.1
ITA,Italie,2012,125.9
ITA,Italie,2013,131.9
ITA,Italie,2014,134.8
ITA,Italie,2015,134.8
ITA,Italie,2016,134.2
ITA,Italie,2017,133.7
ITA,Italie,2018,134.2
ITA,Italie,2019,133.9
ITA,Italie,2020,154.4
ITA,Italie,2021,145.8
ITA,Italie,2022,138.4
ITA,Italie,2023,133.9
ITA,Italie,2024,134.7
JPN,Japon,2000,118.5
JPN,Japon,2001,126.8
JPN,Japon,2002,134.6
JPN,Japon,2003,140.2
JPN,Japon,2004,148.8
JPN,Japon,2005,153.4
JPN,Japon,2006,152.1
JPN,Japon,2007,150.4
JPN,Japon,2008,153.6
JPN,Japon,2009,172.9
JPN,Japon,2010,178.6
JPN,Japon,2011,190.6
JPN,Japon,2012,197.1
JPN,Japon,2013,201.2
JPN,Japon,2014,203.6
JPN,Japon,2015,200.1
JPN,Japon,2016,202.1
JPN,Japon,2017,203.1
JPN,Japon,2018,203.7
JPN,Japon,2019,206.3
JPN,Japon,2020,228.8
JPN,Japon,2021,222.7
JPN,Japon,2022,227.8
JPN,Japon,2023,220.3
JPN,Japon,2024,214.5
KOR,Corée du Sud,2000,16.1
KOR,Corée du Sud,2001,16.6
KOR,Corée du Sud,2002,16.4
KOR,Corée du Sud,2003,19.1
KOR,Corée du Sud,2004,21.6
KOR,Corée du Sud,2005,24.9
KOR,Corée du Sud,2006,27.0
KOR,Corée du Sud,2007,26.3
KOR,Corée du Sud,2008,25.9
KOR,Corée du Sud,2009,28.8
KOR,Corée du Sud,2010,28.3
KOR,Corée du Sud,2011,31.7
KOR,Corée du Sud,2012,33.5
KOR,Corée du Sud,2013,36.0
KOR,Corée du Sud,2014,37.9
KOR,Corée du Sud,2015,38.8
KOR,Corée du Sud,2016,39.1
KOR,Corée du Sud,2017,38.0
KOR,Corée du Sud,2018,37.9
KOR,Corée du Sud,2019,39.7
KOR,Corée du Sud,2020,45.9
KOR,Corée du Sud,2021,48.0
KOR,Corée du Sud,2022,49.8
KOR,Corée du Sud,2023,50.5
KOR,Corée du Sud,2024,49.7
USA,États-Unis,2001,53.5
USA,États-Unis,2002,55.9
USA,États-Unis,2003,59.0
USA,États-Unis,2004,66.4
USA,États-Unis,2005,65.8
USA,États-Unis,2006,64.5
USA,États-Unis,2007,64.9
USA,États-Unis,2008,73.8
USA,États-Unis,2009,87.1
USA,États-Unis,2010,95.7
USA,États-Unis,2011,100.0
USA,États-Unis,2012,103.7
USA,États-Unis,2013,105.0
USA,États-Unis,2014,104.9
USA,États-Unis,2015,105.4
USA,États-Unis,2016,107.4
USA,États-Unis,2017,106.4
USA,États-Unis,2018,107.7
USA,États-Unis,2019,108.8
USA,États-Unis,2020,132.6
USA,États-Unis,2021,125.0
USA,États-Unis,2022,119.1
USA,États-Unis,2023,120.0
USA,États-Unis,2024,122.3
