dep,densite_hab_km2,population,superficie_km2,ecoles_1d,ecoles_pour_10k,police,gendarmerie,securite_pour_10k,colleges,lycees,second_degre_pour_10k,eur_hab_communal
48,14.8,76486.0,5175.955100000001,105,13.73,1,24,3.27,18,12,3.92,1825.0
23,20.6,115527.0,5598.058300000001,152,13.16,1,24,2.16,19,9,2.42,1411.0
04,24.0,168054.0,6996.729399999999,165,9.82,1,28,1.73,23,13,2.14,1903.0
15,25.0,144196.0,5774.2991,149,10.33,1,26,1.87,26,15,2.84,1703.0
05,25.2,143467.0,5690.394199999999,135,9.41,1,20,1.46,15,12,1.88,2380.0
52,26.9,168331.0,6251.7273,157,9.33,2,23,1.49,26,17,2.55,1396.0
55,28.9,180290.0,6228.578600000001,149,8.26,4,21,1.39,27,21,2.66,1114.0
58,29.3,201417.0,6872.0981,201,9.98,2,27,1.44,37,21,2.88,1438.0
32,30.6,192645.0,6302.302,201,10.43,1,26,1.4,30,21,2.65,1282.0
36,31.3,216069.0,6896.6776,216,10.0,2,22,1.11,32,17,2.27,1404.0
09,31.7,155722.0,4913.969399999999,172,11.05,2,19,1.35,21,13,2.18,1522.0
12,31.9,279609.0,8775.0233,310,11.09,3,40,1.54,42,32,2.65,1438.0
46,33.8,176473.0,5226.6079,186,10.54,1,23,1.36,23,16,2.21,1265.0
2B,39.8,187180.0,4707.7198,145,7.75,2,19,1.12,16,10,1.39,1823.0
19,40.8,240826.0,5898.384599999999,218,9.05,3,28,1.29,31,24,2.28,1527.0
18,40.9,298660.0,7302.832300000001,314,10.51,2,25,0.9,31,21,1.74,1374.0
2A,41.9,168306.0,4016.8916999999997,113,6.71,1,17,1.07,16,9,1.49,2250.0
70,43.3,233185.0,5387.3102,207,8.88,3,26,1.24,29,21,2.14,1094.0
89,44.6,332267.0,7457.029299999999,367,11.05,3,33,1.08,36,23,1.78,1349.0
61,44.8,275201.0,6140.9421999999995,200,7.27,1,29,1.09,45,37,2.98,1046.0
03,45.2,333298.0,7377.225399999999,341,10.23,4,26,0.9,45,29,2.22,1442.0
24,45.3,417614.0,9222.4572,392,9.39,3,43,1.1,49,33,1.96,1300.0
43,45.7,228654.0,5004.2248,239,10.45,1,28,1.27,43,25,2.97,1375.0
40,46.3,433570.0,9357.0394,363,8.37,3,33,0.83,50,29,1.82,1459.0
08,50.7,265893.0,5240.6694,198,7.45,3,30,1.24,39,21,2.26,1321.0
39,51.1,257973.0,5047.56,254,9.85,3,28,1.2,38,28,2.56,1291.0
65,51.1,231349.0,4523.009900000001,232,10.03,2,19,0.91,29,26,2.38,1590.0
41,51.2,328543.0,6418.0239,316,9.62,3,23,0.79,38,22,1.83,1344.0
10,51.5,310447.0,6023.1881,254,8.18,3,24,0.87,34,23,1.84,1566.0
53,58.6,305468.0,5209.8099,303,9.92,2,24,0.85,43,31,2.42,1274.0
16,59.0,352683.0,5972.807699999999,320,9.07,2,27,0.82,49,31,2.27,1233.0
11,59.8,379648.0,6344.5181,368,9.69,2,31,0.87,37,28,1.71,1676.0
07,60.0,334231.0,5567.006799999999,360,10.77,6,29,1.05,42,25,2.0,1359.0
88,60.6,357248.0,5893.435600000001,338,9.46,3,30,0.92,49,40,2.49,1518.0
21,61.4,540100.0,8797.138599999998,521,9.65,2,30,0.59,60,43,1.91,1355.0
47,61.9,333602.0,5386.3681,327,9.8,2,32,1.02,40,29,2.07,1242.0
79,62.1,375229.0,6038.281299999999,340,9.06,3,27,0.8,56,37,2.48,1241.0
86,62.4,438897.0,7036.34,349,7.95,2,24,0.59,51,37,2.01,1216.0
71,63.9,550310.0,8610.8302,535,9.72,6,41,0.85,63,42,1.91,1340.0
87,67.2,373167.0,5556.5178000000005,259,6.94,6,24,0.8,41,31,1.93,1380.0
81,68.7,397352.0,5784.4493999999995,315,7.93,5,31,0.91,46,34,2.01,1211.0
51,68.8,563076.0,8188.7705000000005,430,7.64,4,36,0.71,62,37,1.76,1411.0
02,70.7,523342.0,7403.3825,487,9.31,7,37,0.84,75,47,2.33,1197.0
82,71.2,265817.0,3732.099,229,8.61,2,21,0.87,27,19,1.73,1429.0
73,71.5,448226.0,6269.4789,414,9.24,3,28,0.69,50,28,1.74,2442.0
28,73.1,433129.0,5927.258600000001,337,7.78,10,25,0.81,51,30,1.87,1367.0
26,79.9,524207.0,6559.7009,467,8.91,4,35,0.74,58,43,1.93,1334.0
50,82.8,497522.0,6008.648499999999,365,7.34,3,40,0.86,71,44,2.31,1395.0
63,82.9,664453.0,8014.2546999999995,529,7.96,5,47,0.78,77,48,1.88,1328.0
22,87.7,611859.0,6978.2121,500,8.17,4,38,0.69,79,49,2.09,1394.0
72,90.8,566733.0,6241.3474,468,8.26,2,36,0.67,78,46,2.19,1241.0
80,91.4,565413.0,6186.433400000001,510,9.02,4,35,0.69,69,55,2.19,1154.0
64,91.9,706564.0,7684.7648,612,8.66,6,40,0.65,93,70,2.31,1506.0
17,95.3,672279.0,7052.8372,512,7.62,7,38,0.67,66,47,1.68,1515.0
27,100.0,602714.0,6028.724299999999,528,8.76,6,33,0.65,68,39,1.78,1191.0
37,100.6,619362.0,6154.5473,434,7.01,5,29,0.55,72,42,1.84,1374.0
45,101.5,691268.0,6808.0421,484,7.0,5,27,0.46,73,43,1.68,1407.0
25,104.1,547163.0,5253.709199999999,440,8.04,3,33,0.66,63,41,1.9,1311.0
85,105.5,713609.0,6767.118999999999,517,7.24,3,30,0.46,69,63,1.85,1430.0
56,113.9,783390.0,6875.8535,532,6.79,3,36,0.5,92,55,1.88,1497.0
49,116.3,833776.0,7168.7475,653,7.83,3,37,0.48,99,74,2.07,1315.0
01,117.5,679344.0,5783.4137,492,7.24,2,42,0.65,68,36,1.53,1297.0
66,120.0,496855.0,4139.4493,312,6.28,1,31,0.64,42,29,1.43,1816.0
14,127.1,709441.0,5582.666799999999,372,5.24,6,35,0.58,79,57,1.92,1330.0
30,131.2,770940.0,5876.2804,595,7.72,5,41,0.6,82,46,1.66,1502.0
29,137.9,933455.0,6766.7548,591,6.33,6,44,0.54,113,81,2.08,1294.0
54,138.7,732236.0,5281.0425,576,7.87,24,30,0.74,82,53,1.84,1221.0
60,141.0,829899.0,5885.1035,854,10.29,5,41,0.55,85,57,1.71,1352.0
84,159.9,572056.0,3578.669,395,6.9,5,23,0.49,58,44,1.78,1642.0
42,161.2,774133.0,4803.6873,586,7.57,7,30,0.48,81,80,2.08,1407.0
33,162.8,1690493.0,10381.378200000001,1003,5.93,21,56,0.46,159,113,1.61,1469.0
35,164.0,1120666.0,6833.5671999999995,684,6.1,7,35,0.37,117,83,1.78,1394.0
38,164.9,1298990.0,7879.49,976,7.51,4,57,0.47,126,95,1.7,1623.0
57,168.3,1051309.0,6245.616499999999,912,8.67,26,44,0.67,105,67,1.64,1309.0
83,185.5,1119307.0,6032.6053,564,5.04,6,32,0.34,95,50,1.3,1748.0
74,187.0,861158.0,4604.042100000001,513,5.96,5,34,0.45,83,64,1.71,2010.0
34,197.5,1230289.0,6230.2253,690,5.61,5,38,0.35,111,72,1.49,1682.0
76,200.1,1260964.0,6302.818,1025,8.13,38,42,0.63,135,86,1.75,1526.0
44,212.5,1487570.0,7001.544800000001,811,5.45,5,44,0.33,151,116,1.79,1477.0
62,218.0,1457905.0,6688.853900000001,1293,8.87,34,44,0.54,160,92,1.73,1406.0
68,218.4,770738.0,3529.0424,543,7.05,5,36,0.53,76,47,1.6,1420.0
90,229.7,140255.0,610.6831,139,9.91,1,8,0.64,18,12,2.14,1404.0
31,231.3,1471468.0,6360.7016,880,5.98,16,49,0.44,136,91,1.54,1419.0
67,242.8,1163810.0,4794.273499999999,778,6.68,4,39,0.37,119,73,1.65,1353.0
77,247.9,1468108.0,5922.4983999999995,1117,7.61,19,29,0.33,159,76,1.6,1578.0
06,262.7,1128418.0,4295.1474,610,5.41,6,36,0.37,103,75,1.58,2184.0
13,410.7,2087658.0,5082.861000000001,1262,6.05,15,33,0.23,206,155,1.73,1915.0
59,454.8,2615635.0,5750.5504,1821,6.96,71,48,0.45,290,189,1.83,1524.0
69,587.7,1914667.0,3258.1506999999997,1048,5.47,25,34,0.31,191,150,1.78,1422.0
78,644.5,1485086.0,2304.3245,1035,6.97,22,20,0.28,162,94,1.72,1693.0
91,736.1,1338485.0,1818.2795,859,6.42,16,24,0.3,129,67,1.46,1750.0
95,1023.5,1281653.0,1252.2074,821,6.41,14,17,0.24,150,69,1.71,1791.0
94,5831.8,1426929.0,244.6791,671,4.7,43,0,0.3,144,80,1.57,1965.0
93,7200.6,1704316.0,236.68989999999994,925,5.43,27,0,0.16,173,107,1.64,2141.0
92,9430.8,1654712.0,175.4591,691,4.18,50,0,0.3,152,93,1.48,2363.0
75,19967.5,2103778.0,105.36030000000001,840,3.99,111,0,0.53,220,216,2.07,4195.0
